drugname,count
0.45%NS w/ 20meq KCL (ml/hr),17
Reapro (mcg/kg/min),25
D5/0.45NS,1
Platelets (ml/hr),107
D5N (ml/hr),13
L-CARTINE (ml/hr),2
NaHCO3 in steril H20 (ml/hr),73
LR fluid bolus (ml/hr),2
d5 1/2NSS w/ 40meq KCL (ml/hr),4
NS @50/HR (ml/hr),15
NSS w.20kcl (ml/hr),16
LR Bolus (ml/hr),2
Normal Saline with Sodium Bicarb (ml/hr),23
NSS with MV (ml/hr),20
Precedex  (mcg/kg/hr),9
IVFluid (ml/hr),2
D5 NS,3
bolus (ml/hr),212
D5W w/75meq NaHCO3 (ml/hr),12
Fent. epidural (ml/hr),1
D5 1/2 NS W/ 20 KCL (ml/hr),39
"D5NS w/ multivit, thiamine, folic acid (ml/hr)",2
Levothyroxine Sodium (mcg/min),6
D10W (ml/hr),545
FFP,1
d5 1/2 + 20 KCl (ml/hr),22
1/2 NSS,13
0.45%NS (ml/hr),322
NS w/20meq kcl (ml/hr),29
insulin (units/hr),227
5% Dextrose w/ 150 mEq bicarb (ml/hr),7
D5W w/ 150 meq NaHCO3 (ml/hr),7
0.9% Ns (ml/hr),43
packed red blood cells (ml/hr),6
D5 1/2 NSS w/ 75mEq Bicarb (ml/hr),12
NACL,1
NS kvo (ml/hr),21
IVF BOLUS (ml/hr),32
D5 w/0.45% NS (ml/hr),9
NS maintance (ml/hr),79
tirofiban (mcg/kg/min),1
D5 Bicarb 150 (ml/hr),27
Fluids with bi-carb (ml/hr),44
d5 1/2 ns + 40 mEq kcl (ml/hr),15
Cardiazem (mg/hr),7
D5 w/250meq bicarb (ml/hr),5
rbc (ml/hr),68
 D5 W/100meq Bicarb,1
D51/2NS w/ 20meqK (ml/hr),19
MVI w/ Thiamine (ml/hr),12
3% nacl (ml/hr),4
NSS Venous Sheath (ml/hr),24
MUCOMYST (ml/hr),2
Mucomyst (ml/hr),12
D5 1/2NS 20MEQ KCL 10MMOL KPHOS (ml/hr),18
CISATRACURIUM (mcg/kg/min),209
LR bolus (ml/hr),61
D5 0.9%NaCl (ml/hr),25
Rocuronium IVF Infused (ml/hr),182
1L D5W w/150mEq Bicarb (ml/hr),8
D5/0.9%NS (ml/hr),17
NaHCO (ml/hr),4
amicar (ml/hr),283
Calcium Gluconate IVF Infused (ml/hr),11873
Fibersource HN (ml/hr),132
BOLUS (ml/hr),212
ffp (ml/hr),36
Ketamine (mcg/kg/min),29
Bld Products (ml/hr),6
0.9% NSS ,2
2% Saline (ml/hr),34
NS/30KCL (ml/hr),2
0.9% NSS  (ml/hr),365
TPN  (ml/hr),5
acetylcysteine (mg/kg/hr),112
Amicar (mg/hr),254
KPhos (ml/hr),2
Rocuronium (mg/hr),4
D5 .9 NSS (ml/hr),105
Insulin gtt (units/hr),12
dopamine (mcg/kg/min),21
Abx2 (ml/hr),1
NS + MVI,1
0.9% (ml/hr),724
Tube feeding (ml/hr),13
Fent/Bupi Epidural (ml/hr),33
BiCarb  (ml/hr),3
D5 w/ BICARB (ml/hr),7
D10 1/2NS (ml/hr),13
D50.9%NS,1
Vecuronium (mcg/kg/min),768
D5 LR  (ml/hr),6
D5W 0.45%NACL+40MEK KCL (ml/hr),28
vasopressin (units/min),294
NS with abx (ml/hr),55
D5% LR w/ 40 K (ml/hr),46
Diltiazem (ml/hr),42938
1/2 Normal Saline,9
D5W w/ 40 meq KCL (ml/hr),3
Volume (mL)-sodium chloride 0.9 % bolus 250 mL (ml/hr),123
Milrinone (mcg/kg/min),15940
D5W 1L + 3 VIALS OF NAHCO3 (ml/hr),21
TPN (ml/hr),12546
Na Bicard (mcg/hr),17
Vasopressin (units/min),61213
D5W + 3 AMPs Sodium Bicarbonate (ml/hr),75
Dexmedetomidine (mcg/kg/hr) (),1
0.9 Sodium Chloride (ml/hr),34
D5 0.9%NS (ml/hr),4
"MVI/thiamine, folic acid  (ml/hr)",20
Precedex (mg/kg/hr),178
D5 0.9%NSS (ml/hr),163
D10 with 150 NaHCO3 (ml/hr),18
RBC's (ml/hr),33
Tube Feeds ,1
D5 NSS + 20K (ml/hr),16
D5 W/3 amps bicarb (ml/hr),1
Pentobarbital (mcg/kg/hr),4
0.45% NS with 75 meql BiCarb (ml/hr),17
Hypertonic Saline (ml/hr),351
1000cc d5w w/ 3 amps nahco3 (ml/hr),36
NS w/ 20 KCl (ml/hr),5
D5LR w/10KCL (ml/hr),26
D51/2 NSS (ml/hr),40
Magnesium Sulfate STD 1 g Sterile Water (SWFI) 100 ml  Premix (Unknown),10
3% Sodium Chloride IVF Infused (ml/hr),5590
D5 1/2NS w/40mEq KCL,1
1/2NS w/ 20meq KCL,1
0.9% NSS Bolus (ml/hr),7
EPIDURAL (ml/hr),131
Pentobarbital (ml/hr),327
tPa (ml/hr),28
IV + Kcl (ml/hr),5
0.9NS,13
NS with 20K (ml/hr),22
ivp (ml/hr),16
normal saline with 20 k (ml/hr),17
D50.45NS20K (ml/hr),19
IVF + MVI,1
0.225% sodium chloride (ml/hr),17
Ketamine,8
Propofol (Diprivan) 1000 mg  100 ml  Premix (mcg/kg/min),5426
hydrocortisone (ml/hr),13
0.9%NS with ABx,3
Total Parenteral Nutrition 720 ml (ml/hr),8
D5 1/2 NS w/ 40K,1
0.45% NS c 20 mEql KCL  (ml/hr),10
tPA flush (ml/hr),4
0.9% NSS (ml/hr),5047
10% DEXT (ml/hr),2
SODIUM BICARBONATE 150 MEQ,3
Humulin R Insulin (ml/hr),14
NSS TPA flush (ml/hr),5
D5 NS 0.2% (ml/hr),14
D5% with 3 amps of bicarb (ml/hr),13
D545 (ml/hr),13
d5LR+40 MEQ KCL,1
5% albumin (ml/hr),2
0.45 NS,8
1.8 NaCL (ml/hr),4
NS W/KCL 20 (ml/hr),59
Potassium Acetate (ml/hr),1
fentaNYL PCA 100 ml (),1
d5w+3amps na bicarb (ml/hr),4
Eptifibatide (mcg/min),501
"Total Parenteral Nutrition 1,800 ml (ml/hr)",13
pRBC  (ml/hr),8
Volume-Transfuse platelet pheresis (ml/hr),2
cardene (),19
Propofol (Unknown),27
 NA BICARB (ml/hr),12
23.4% NaCl (ml/hr),1
Glucagon 10 mg Dextrose 5% 100 ml (mg/hr),2
1/2NS +20KCL (ml/hr),100
D5W w/Bicarb (ml/hr),4
Levophed (ml/hr),148
FentaNYL (Sublimaze) 2500 mcg Sodium Chloride 0.9% 500 ml  Premix (mcg/hr),10
D5 1/4 WITH 20KCL (ml/hr),25
d51/2nss w 20kcl (ml/hr),29
"Sodium Chloride 0.45% 1,000 ml (ml/hr)",6
Lidocaine (mg/kg/hr),2
1/2 NSS + 40K (ml/hr),7
D5 .45 (ml/hr),33
0.45 NS (ml/hr),393
d5NS (ml/hr),14
D5W/3 amps HCO3 (ml/hr),4
Bupivaciane 0.125% (ml/hr),10
Bicarb gtt (ml/hr),303
NaBicab (ml/hr),4
Vecuronium ,1
Ninbex (mcg/kg/min),138
D5 1/2NS +75MEQ HCO3 (ml/hr),41
Ns (ml/hr),20
NS 20meq KCL (ml/hr),10
Insulin Regular (units/hr),8
D5 1/2 +20KCL (ml/hr),55
tPa (mg/hr),2
HYDROMORPHONE (mg/hr),11
0.9% NaCl,4
Volume (ml) Abciximab  (ml/hr),130
D5 Electrolye Bag (ml/hr),19
Anticoagulant Citrate Dextrose Sol A (ml/hr),6
Vancomycin 1500mg/250ml (ml/hr),2
Propofol,1547
Pacer NS (ml/hr),8
D5 .45 NORMAL SALINE (ml/hr),9
D 5 W,1
D5 3amp NaHCO3 (ml/hr),8
CISATRACURIUM,1
Insulin (units/kg/hr),817
Alteplase (EKOS) (mg/hr),23
Vancomycin (ml/hr),90
1/2 N.S (ml/hr),44
Dexmedetomidine(Precedex) 400 mcg Sodium Chloride 0.9% 100 ml (mcg/kg/hr),2016
Fentanyl (),32012
Amicar Drip (ml/hr),29
Volume (mL) Tenecteplase,3
EKOS-coolant (ml/hr),2
Fat Emulsion IV 20% 250 ml (ml/hr),16
tPA (ml/hr),125
Sterile Water w/75meq Bicarb (ml/hr),33
NS + KCl 40 mEq (ml/hr),55
Nepro (ml/hr),128
Volume (mL) Acetylcysteine (ml/hr),321
Lactated RIngers (ml/hr),67
IVF withOut Vasoactives (ml/hr),25
D5/.9 with KCL (ml/hr),12
NS w/40mEq KCL (ml/hr),22
D% + 1/2 NS + 40meq K  (ml/hr),16
Alteplase(tPA)ArteriClot 20 mg Sodium Chloride 0.9% 100 ml (mg/hr),4
D5 + Bicarb (ml/hr),15
IVF Bolus  plain (ml/hr),1
Sterile Water with Amp Bicarb (ml/hr),81
VANCOMYCIN (ml/hr),22
3%  NSS (ml/hr),10
NS/20KCL  (ml/hr),4
0.9% NS ,1
D5/LR with 10 mEq KCl (ml/hr),39
NSS w/ 40mEq K (ml/hr),5
d5LR with 10 meq K+ (ml/hr),25
D5/LR + MVI (ml/hr),5
Flolan (nanograms/kg/min),42
Volume (mL)-lactated ringers bolus 300 mL (ml/hr),1
bivalirudin (mg/kg/hr),3
isosource (ml/hr),14
d5.45 with 20kcl (ml/hr),9
Midazolam (mcg/hr),13
LR with 40mEq KCl,1
IVF withOut VasoAcitves (ml/hr),5
D5W 0.45%NACL+40MEK KCL,3
D5W/.45% NS + 20 mEq K,1
0.9%  (ml/hr),73
1/2 NS + 20 meEq KCL (ml/hr),20
magnesium (mg/hr),60
d10 with 40 MEQ K (ml/hr),24
NS + ABX (ml/hr),279
.9ns w/ kcl 40 meq (ml/hr),7
Zosyn  (ml/hr),3
D5LR with 40meq KCL/L (ml/hr),17
D5W.45NSw/40meqK (ml/hr),9
Alteplase TPA (mg/hr),22
TPA,10
NS WITH KCL 20MEQ (ml/hr),5
NS + 20meq KCL (ml/hr),154
Reopro (mcg/kg/min),2
D5w/bicarb (ml/hr),22
Amicar (mg/kg/hr),12
D51/2NS w. KCL (ml/hr),15
Multivitamin Bag (ml/hr),29
levophed  (mcg/min),47
D5LR w 40kcl (ml/hr),6
Fluid bolus NS (ml/hr),1
narcan (units/kg/hr),3
BBag (ml/hr),1
Diluadid  (mg/hr),40
D5W2AMPNAHCO3 (ml/hr),66
Bupivicaine Epidural infusion (ml/hr),80
D5 1/2+ KCL 20meq (ml/hr),8
D5NS WITH 20 KCL (ml/hr),13
0.2 NS (ml/hr),12
bumex (ml/hr),26
"D5.45 w/ folic acid, &thiamine (ml/hr)",5
D10/NS (ml/hr),68
LPIDS (ml/hr),1
Labetalol (ml/hr),2426
NS @ 75ml/hr (ml/hr),39
d5LR (ml/hr),27
D5 . 45 (ml/hr),41
solumedrol (mg/hr),2
Nitroprusside (mcg/min),1
D5W w/NaHCO3 (ml/hr),15
TPA2 mL/hr (ml/hr),32
D5 1/2NS + 20 mEq KCL (ml/hr),27
D5/0.45NS (ml/hr),283
Volume-Transfuse pheresed platelets (ml/hr),6
D5W c 75meq NaHCO3 (ml/hr),19
HEPARIN #2 (units/hr),16
D5NS w/20K (ml/hr),21
D5LR w/10mEq KCl,1
Sod Bicarb (ml/hr),49
D5 0.45 NSS (ml/hr),16
D5W 3 AMP SOD. BICARB (ml/hr),2
antibiotic (ml/hr),1
D5 1/2NS  KCL 20MEQ (ml/hr),16
bupivacaine epidural (ml/hr),4
NIMBEX  (mcg/kg/min),434
ns (ml/hr),1303
0.2% NS (ml/hr),28
D5/0.9% NaCl (ml/hr),29
Epidural  (ml/hr),43
2% NaCl (ml/hr),7
KCL (ml/hr),43
Aminiophylline (mg/hr),2
NSS 2 (ml/hr),27
2%NaCl (ml/hr),3
D5/NS0.9%  (ml/hr),10
Fentanyl epidural (ml/hr),3
5D/NS (ml/hr),1
ns,6
D5 0.45NaCl (ml/hr),20
D5 NS  (ml/hr),13
Amicar  (mg/hr),3
NS+20meq KCL (ml/hr),14
D5 NSS with additives (ml/hr),10
transexamic acid (mg/hr),8
k ryder (ml/hr),7
D5 150meq NaHCO3 (ml/hr),13
0.2% NS w/Na HCO3 (ml/hr),9
RBC (ml/hr),49
Cisatrscurium (mg/hr),67
Mannitol gtt(100gm/500mL) 50 g Dextrose 5% 250 ml (Unknown),1
Dialudid PCA (mg/hr),1
D5 0.45NS (ml/hr),66
d5W/.45NSS w/ MV (ml/hr),15
NAHCO3 (ml/hr),32
Blood product (ml/hr),3
Dexmedetomidine Inj 400 Mcg in Sodium Chloride 0.9% 100 ml (mcg/min),1
SODIUM BICARB (ml/hr),84
D5 1/2 NS (ml/hr),1206
Insulin (Scale A) (units/hr),120
Vecuronium (Norcuron) 100 mg Sodium Chloride 0.9% 100 ml (mcg/kg/min),14
D5LR MVI (ml/hr),5
D5 1/2 NS w/40KCl (ml/hr),5
Amiodarone Bolus (mg/min),2
bivalirudin (mcg/kg/hr),2
3% Na (ml/hr),18
atracurium (mcg/kg/min),307
Zemuron (mcg/kg/min),30
NACL 20MEQ KCL (ml/hr),19
NSS +abx,3
Lidocaine,7
D10W 0.45 NaCl (ml/hr),13
0.45%ns c 40kcl (ml/hr),20
Mag Sulfate + Thiamine (ml/hr),26
D51/2 Saline (ml/hr),3
D5 (ml/hr),809
1.8% saline (ml/hr),17
D5 W/ 40K,2
IVF with MV (ml/hr),9
D5/.45NS + 20 K (ml/hr),8
Amiodarone (),18966
Multivitamin (ml/hr),15
D5.45NSS + MVI (ml/hr),7
5D/0.45 SS (ml/hr),5
NS w/5g Mag sulfate,4
250 ml NSS challenge over 15 minutes per order G. Poppiti (ml/hr),13
Calcium GLUCONATE STD 1 g Sodium Chloride 0.9% 100 ml (Unknown),11
Piperacillin-Tazo 3.375GM 50 ml (ml/hr),53
dextrose 10% (ml/hr),3
Propofol IV Emulsion 100 ml (ml/hr),5
D5LR w/thiamine and folate (ml/hr),11
NS + MVI (ml/hr),75
normal saline 20K (ml/hr),109
iv  (ml/hr),9
SodiumBicarb/d5w@150 (ml/hr),6
sterile water with 38.5meq NaCl (ml/hr),12
Bicarb (ml/hr),834
amiodarone bolus (mg/min),5
aMICAR (ml/hr),23
Sterile H2O/BiCarb (ml/hr),1
Magnesium (ml/hr),105
Sterile Water & 150meq Bicarb (ml/hr),28
D5 1/2NS W/20K  (ml/hr),47
Other mL/hr (ml/hr),354
NSS + 40mEqK (ml/hr),5
Fentanyl (ml/hr),289006
Pantoprazole,212
glucogon (ml/hr),2
D5 1/2 c thiamine/folic acid (ml/hr),10
cardizem,1
NA PHOS RIDER (ml/hr),30
Argatroban 250 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min),4
D10 1/2 NS (ml/hr),22
D51/2NS 1 AMP NAHCO3 (ml/hr),24
D5 N,3
BiCarb,1
Iv (ml/hr),6
MIV (mcg/kg/min),5
IV abx + electrolytes,5
LR 20K,2
NS,335
NS MF (ml/hr),216
D5/.45NSS/40KCL (ml/hr),8
TPA flush (ml/hr),10
flolan (ml/hr),24
LR with 40mEq KCl (ml/hr),29
Levothyroxine Sodium (mcg/hr),16
D5 1/2 Nss  (ml/hr),3
D50.45NS,1
LR w/ 50cc dextrose (ml/hr),3
Labetalol (mg/min),2250
Lactated Ringers,5
0.45%NSS (ml/hr),82
0.2% NSS w HC03 (ml/hr),61
Volume-Transfuse Pheresed Platelets,14
.9 nss,1
MAIN,1
2% saline (ml/hr),20
0.9% Normal saline (ml/hr),74
ivf withOut vasoactives (ml/hr),5
Ativan,1
D5/.45%NaCl (ml/hr),15
NA Bicarb (ml/hr),1
vecorunium (mcg/kg/min),98
D5/NSS (ml/hr),115
MG RIDER (ml/hr),1
hydromorphone (mcg/hr),7
Dilaudid PCA (ml/hr),106
"leveTIRACETAM INJ 1,500 mg in Dextrose 5% 100 ml (ml/hr)",10
NSS w/ precedex/fent (ml/hr),90
D5 .45NS w/NaHCO3,2
D5/0.5NS (ml/hr),17
D51/2 NSS + KCL 40meq (ml/hr),33
Calcium CHLORIDE STD 2 g Sodium Chloride 0.9% 100 ml (Unknown),1
D5 150meq of bicarb (ml/hr),14
Epidural Fent/Bupiv (ml/hr),2
0.9%NSS (ml/hr),1357
D5 0.45% NS (ml/hr),109
D5W 1/2NS,1
NS bolus,2
Ciprofloxacin 400 mg/D5w 200 ml (ml/hr),2
TPA R Femoral (ml/hr),83
D5 1/2NS w/ 40mEq K+ (ml/hr),12
cisatracurium (mg/hr),478
acetaminophen (ml/hr),1
NaCL 0.9% Calcium gluconate (ml/hr),41
epidural; fentanyl/lido/duramorph (ml/hr),81
D50.9 (ml/hr),59
d5w na bicarb (ml/hr),10
D5 0.45% 20 Meq KCL (ml/hr),11
Vasopressin (mg/min),55
3% NACL (ml/hr),400
Bolus  (ml/hr),15
D5w +atbx (ml/hr),29
Morphine (ml/hr),4059
D5W + 40K (ml/hr),21
D21/2NS,1
SOLUMEDROL  (ml/hr),76
Norepinephrine (mcg/kg/min),68921
D51/2+10KCL (ml/hr),17
D5LR w/10 kcl (ml/hr),9
LR bolus,1
Naropin (ml/hr),4
D5LR with KCl (ml/hr),9
Dexmedetomidine (mcg/kg/hr),69986
Dexmedetomidine Inj 400 Mcg in Sodium Chloride 0.9% 100 ml (mcg/kg/min),1
NSS w/ atb (ml/hr),117
Blood (PRBCs) (ml/hr),31
Dilaudid PCA -Infusion,1
Methylprednisone (ml/hr),2
sterile H20 w/100meqNaHco3 (ml/hr),17
NS ABX (ml/hr),186
D5NSS,3
D5W/ 0.45NS (ml/hr),38
D5/0.45NSS (ml/hr),23
Magnesium Sulfate IVF Infused (ml/hr),3649
NS R Femoral (ml/hr),83
IVIG (ml/hr),64
nalxone (mcg/kg/hr),8
k+ phos (ml/hr),6
D5 .20 NS (ml/hr),25
D5W+150meqSodiumBicarm (ml/hr),10
Lipids,2
Insulin scale A (units/hr),16
Abciximab (mg/min),3
Acetadote (ml/hr),112
PRBCs (ml/hr),278
IV immunoglobulin (ml/hr),47
NS--EKOS (ml/hr),23
D5w/150MEQ sodium bicarb (ml/hr),30
Albumin 5%,7
1/2NS + NaHCO3 75meq (ml/hr),6
D5W/.45 NaCL (ml/hr),21
0.45 NSS Bicarb 150 MEQ (ml/hr),17
IVF bolus.   (ml/hr),11
D5 1/2,3
calcium guconate (ml/hr),1
amicar (mg/kg/hr),2
d5 150meq Bicarb (ml/hr),28
D5.45+20kcl (ml/hr),14
cistracurium (mg/kg/min),1
0.9 (ml/hr),12
d5W/ Na Bicarb (ml/hr),10
morphine pca (ml/hr),2
Platelets ,1
MV/thiamine/folic acid (ml/hr),8
CLEVIDIPINE (mg/hr),33
Sodium Bicarbonate (mEq/hr) (Unknown),5
Vasopressin 40 Units Sodium Chloride 0.9% 100 ml (units/kg/hr),7
d5/0.45%nacl/20K (ml/hr),30
NS + 20K (ml/hr),4
NACL (ml/hr),136
IVC (ml/hr),2
cardene (ml/hr),78
SODIUM BICARB 1mEq/ml INJ 150 Meq in Dextrose 5% 850 ml (ml/hr),4
IVIG,3
D5/150mEq Na Bicarb (ml/hr),15
Dexmedetomidine (mcg/min),145
IVF # 2 (ml/hr),2
TPA mL/hr (ml/hr),75
Other meds (ml/hr),1
Insulin (mg/min),1
D5W/KCL/BiCarb (ml/hr),1
Zosyn (ml/hr),318
NS block replacement (ml/hr),20
Altepase,1
k phos (ml/hr),13
NS BOLUS (ml/hr),117
Epoprostenol,12
Citrate mL/hr (ml/hr),873
Protonix (ml/hr),289
bicarb (ml/hr),475
Aminocaproic acid MAX 25 g Sodium Chloride 0.9% 250 ml (Unknown),143
ATRACURIUM (mcg/kg/min),2
10% dextrose (ml/hr),1
ACETYLCYSTEINE (ml/hr),17
IV + MVI (ml/hr),4
D!) w bicarb (ml/hr),1
ANBX (ml/hr),30
.45NS w/75mEq Bicarb (ml/hr),19
atb (ml/hr),1
NS w/ABX (ml/hr),109
"Volume (mL)-sodium chloride 0.45 % bolus 1,000 mL (ml/hr)",3
Vasopressin (mg/hr),1
D5 1/2 20KCL,2
fentanyl epi (ml/hr),5
d5 0.45NS (ml/hr),88
NSS #3 (ml/hr),49
0.45 NS w/40MEQ KCL (ml/hr),3
mag rider (ml/hr),7
NS 20KCL (ml/hr),34
3%hypertonic saline (ml/hr),6
Albumin25% (ml/hr),5
D5 1/2NS w/MVI (ml/hr),14
Albumin 25%  (ml/hr),11
D5  0.45% NS (ml/hr),8
precedex (ml/hr),17
1/2NS  (ml/hr),9
Propofol (Diprivan) 1000 mg  130 ml  Premix (mcg/kg/min),8
1/2NS  w/ 75 HCO3 (ml/hr),63
IVF withOut vasoactives (ml/hr),23
Na HCO3 in 0.45% NS (ml/hr),24
Packed RBCs (ml/hr),10
Volume-Transfuse RBC,263
0.9% Normal Saline Solution (ml/hr),30
Heparin (Unknown),58
CILAUDID PCA (mg/hr),7
.9 NSS (ml/hr),811
Nitroglycerin (mcg/min),22668
Angiomax (mcg/kg/hr),42
NGT Flush (ml/hr),13
Sterile W c 150 mEq (ml/hr),47
Pantoprazole(Protonix) (mg/hr),1165
bananna bag (ml/hr),5
Haldol,1
D5 .45NS (ml/hr),217
1/2NS (ml/hr),191
D5 Electrolye Bag,2
Novasource Renal TF (ml/hr),81
EPINEPHrine(Adrenalin)STD 4 mg Sodium Chloride 0.9% 500 ml (mcg/min),3
D5 1/2NS w/  20KCL (ml/hr),3
D5/W,5
0.45%NS w/150 NaBicarb (ml/hr),25
versed (mg/hr),6
D 10 (ml/hr),63
Labetalol (),6
bicarb drip x 3 amps (ml/hr),5
NS Med Flush (ml/hr),29
Fenoldopam 10 mg Sodium Chloride 0.9% 250 ml (mcg/kg/min),1
0.9% NS  (ml/hr),175
D5/ NS (ml/hr),66
D10W.45NS (ml/hr),3
D5NSS + 40 KCL (ml/hr),30
Vasopressin (mcg/kg/min),3
D5/ 0.45%NS,1
Pantoprazole (mg/hr) (mg/hr),360
Normosol pH 7.4 (ml/hr),12
NaHco3 (ml/hr),9
"Volume (mL)-sodium chloride 0.9 % bolus 3,350 mL (ml/hr)",1
D5W 0.9NSS (ml/hr),5
D5 0.9NS (ml/hr),117
D10% (ml/hr),13
D5%./NaCl 0.45% (ml/hr),24
D5W w/ 100 meq bicarb (ml/hr),27
Octreotide 500 mcg Sodium Chloride 0.9% 500 ml (mcg/hr),44
Rocuronium (mg/kg/min),9
1/2NS + MVI (ml/hr),9
Eptifibatide (mcg/hr),6
NaCHO3 (ml/hr),3
Amio Bolus (ml/hr),1
0.45 NS  (ml/hr),24
Bivalirudin (mg/kg/hr),14
multivitamin bag (ml/hr),32
D5 with Bicarb (ml/hr),1
Volume (mL)-sodium chloride 0.9 % bolus 500 mL (ml/hr),587
D5 0.45%NS w/ 40 KCL (ml/hr),20
2% NS (ml/hr),22
LR w/ KCL,3
NS+K (ml/hr),1
0.45% Sodium Chloride (ml/hr),56
Bupivicaine 2% (ml/hr),25
Pentobarbital (mg/kg/hr),601
D5 150 Bicarb (ml/hr),6
D5 1/2 NS with 10k+ (ml/hr),111
"Volume (mL)-sodium chloride 0.9 % bolus 2,000 mL (ml/hr)",32
Eptifibatide (mg/hr),2
D5 LR KCL (ml/hr),10
1/4 NSS (ml/hr),36
D5 N (ml/hr),64
ALTEPLASE (mg/hr),17
D5 45%NS (ml/hr),33
Potassium (mg/hr),5
D5%W (ml/hr),18
 (mcg/kg/hr),3
Esomeprazole (mg/min),3
NSS RFS,1
1/2NSS w/ 40KCL (ml/hr),13
10% Dextrose  (ml/hr),13
Other Med 30 mmol Sodium Chloride 0.9% 510 ml SODIUM PHOSPHATE 30 MMOL SODIUM PHOSPHATE 30 MMOL (Unknown),1
sodium bicarb 150 meq in 1 L D5W (ml/hr),4
0.45% NS,3
D5 NS w 20K (ml/hr),104
Volume (mL) Naloxone (ml/hr),175
D5/0.45NS with 40meq KCL (ml/hr),12
NaHCO3 gtt 1mEq/1ml  (ml/hr),1
nahco3 (ml/hr),5
D5NS with 20meq KCL (ml/hr),13
D5.45,1
Volume (ml) Heparin-heparin infusion 2 units/mL in 0.9% sodium chloride (ARTERIAL LINE),5
Amiodarone (mg/hr),166
levothyroxine (mcg/hr),66
D5W with KCL (ml/hr),14
D5/NaHCO3 75 (ml/hr),8
Ban Bag (ml/hr),1
TPA (),34
D50.9,1
Dopamine (mg/hr),2
fat emulsion (ml/hr),1
Volume-Transfuse fresh frozen plasma,69
Insuline Scale B (units/hr),47
NS + 20 MEQ KCL (ml/hr),24
d5w 150 meq hco3 (ml/hr),21
1/4 NS (ml/hr),36
Normal saline 0.9% (ml/hr),29
D5.45NS/20KCL (ml/hr),5
D5W w/150 meq bicarb (ml/hr),63
NS with 20mEq KCl  (ml/hr),13
IVF plain (ml/hr),16
HACo3 (ml/hr),14
Dexmedetomidine (mg/hr),78
0.9%NS with ABx (ml/hr),1
Bicarb,2
Tube Feed Flushes (ml/hr),216
Calcium Gluconate (ml/hr),19
bivalrudin (mcg/kg/hr),2
NS w/20 meq (ml/hr),11
0.9% w/20meqKCL (ml/hr),68
cardene (mg/hr),203
HCO3 w/20meq K+ (ml/hr),12
Dexmedetomidine (mg/kg/hr),34
Na Phos rider (ml/hr),6
0.45% NSS (ml/hr),233
1.8% NaCL (ml/hr),10
Epinephrine (ml/hr),33272
D5W w/ABX (ml/hr),12
.45% NS (ml/hr),36
Argatroban,6
Midazolam (mcg/kg/hr),10
NS1/2 + 20KCL,1
IVF withOut additives (ml/hr),28
D5LR w 10k  (ml/hr),13
Octreotide (),2136
0.9 NS (ml/hr),3592
Calcium GLUCONATE STD 2 g Sodium Chloride 0.9% 100 ml (Unknown),5
Iced NS (ml/hr),7
Albumin,10
IVF NSS,2
D5 1/2NS KCL10 (ml/hr),24
PITOCIN (ml/hr),14
IVF Without VasoActives (ml/hr),1
Aminophylline,1
ABX (ml/hr),73
3% Hypertonic Saline,3
Cipro (ml/hr),4
Zemuron (mcg/kg/hr),22
Norepinephrine STD 4 mg Dextrose 5% 500 ml (mcg/min),8
Albumin 5% 25G (ml/hr),6
Synthroid (mcg/hr),54
RBC/Flush (ml/hr),3
AMINOPHYLLIN (mg/hr),5
D5.45 W/ 40 MEQ KCL (ml/hr),8
D5 with 2 amps bicarb (ml/hr),27
MVI/thiamine (ml/hr),5
NSS W/ mvi,2
atricuriom (mcg/kg/min),17
D5W w/150 meq HCO3 (ml/hr),16
0.45% NS with 20meq K (ml/hr),13
MVi (ml/hr),3
tpn w/ fat (ml/hr),29
Sodium Bicarb  (ml/hr),11
Norepinephrine (mg/min),8
ns + abx (ml/hr),1
Heparin via sheath (units/hr),20
cardene gtt (ml/hr),19
Albumin Human 25% Inj 100 ml (ml/hr),1
D5W 10 KCL (ml/hr),12
23.4% nacl (ml/hr),69
RBCs (ml/hr),9
Angiomax (mg/hr),4
D5/0.45NS w/ Multivits (ml/hr),7
IIVF (ml/hr),4
kvo  (ml/hr),10
Neo-Synephrine (mcg/min),23
NS+20MEQKCL (ml/hr),106
Cisatracurium,11
bactrum  (ml/hr),3
3% hypertonic,1
NSS w/ABT (ml/hr),145
0.9%NACL (ml/hr),16
C ABX _NSS (ml/hr),34
acetylcistine (ml/hr),21
D5 LR 30mEqK (ml/hr),11
0.5NSS w 150mEq bicarb (ml/hr),3
Nicardipine (Unknown),1
FLAGYL (ml/hr),33
TPA (ml/hr),165
Tube Feeds (ml/hr),118
5% ALBUMIN (ml/hr),2
Propofol (mcg/kg/min),207890
Acetylcystine (ml/hr),3
BREVIBLOC (mcg/kg/min),27
D10 1/2 NS,1
Dopamine (Unknown),10
bupivicaine (ml/hr),11
D5NSS.45 c 75 mEq (ml/hr),34
1/2NS with 20 kcl  (ml/hr),14
NSS KVO,1
BiCarb (ml/hr),134
levothroxine (ml/hr),70
BLD PRD (ml/hr),2
3% saline (ml/hr),626
0.45% NSS with 150meq NAHCO3 (ml/hr),9
octreotide  (ml/hr),4
NaCL 0.2% (ml/hr),19
ARGACTROBAN (mcg/kg/min),391
